,t,Vdbz
769,77.54375,128.39911496979516
770,77.544375,128.60795182773933
771,77.545,128.50742332877883
772,77.545625,128.2256582603477
773,77.54625,128.07613221094846
774,77.546875,127.98655064317357
775,77.5475,127.79395096412772
776,77.548125,127.36573769804261
777,77.54875,127.63673599996686
778,77.549375,127.75846933946873
779,77.55,127.72284217861638
780,77.550625,127.88903361652432
781,77.55125,127.8750128069616
782,77.551875,127.88553053535642
783,77.5525,128.17836041693562
784,77.553125,128.1205788992723
785,77.55375,128.11034213952752
786,77.554375,128.23576009087736
787,77.555,128.28274724368953
788,77.555625,128.26599528162504
789,77.55625,128.22902684275877
790,77.556875,128.2726999439711
791,77.5575,128.27605033538703
792,77.558125,128.2726999439711
793,77.55875,128.28274724368953
794,77.559375,128.12398847326625
795,77.56,128.13080360867912
796,77.560625,128.28274724368953
797,77.56125,128.28274724368953
798,77.561875,128.19190038793633
799,77.5625,128.04866692438625
800,77.563125,127.89603554325423
801,77.56375,127.96227383461004
802,77.564375,127.89253528544418
803,77.565,127.58248292140784
804,77.565625,127.45824005940213
805,77.56625,127.33965951955702
806,77.566875,127.24587875928462
807,77.5675,127.24587875928462
808,77.568125,127.41026179197185
809,77.56875,127.65114643817572
810,77.569375,127.93792898285048
811,77.57,128.08640934443463
812,77.570625,128.14441785854794
813,77.57125,128.12739670938535
814,77.571875,128.19866246662588
815,77.5725,128.24248812346636
816,77.573125,128.24585018646093
817,77.57375,128.1681915693686
818,77.574375,128.27939943496122
819,77.575,128.2693482597165
820,77.575625,128.0589765868881
821,77.57625,128.21891717375547
822,77.576875,128.0898323551737
823,77.5775,127.86096932833557
824,77.578125,128.07270379581095
825,77.57875,128.02456334996225
826,77.579375,127.8750128069616
827,77.58,127.68348277614066
828,77.580625,127.57885397226875
829,77.58125,127.51692872618312
830,77.581875,127.51692872618312
831,77.5825,127.71212547196625
832,77.583125,127.72997931101307
833,77.58375,127.68348277614066
834,77.584375,127.6727173672376
835,77.585,127.75135558834377
836,77.585625,127.66912593049506
837,77.58625,127.35084547041154
838,77.586875,127.17392199147622
839,77.5875,127.10903040253035
840,77.588125,127.10136412697702
841,77.58875,127.0127121651791
842,77.589375,126.87998138114322
843,77.59,126.78902882612881
844,77.590625,126.80094635322787
845,77.59125,126.72519104028387
846,77.591875,126.70113038878183
847,77.5925,126.71717822639636
848,77.593125,126.65280820774925
849,77.59375,126.49798994104627
850,77.594375,126.30260634367204
851,77.595,126.09842323801784
852,77.595625,126.23931320736732
853,77.59625,126.19260334851799
854,77.596875,125.81849118765507
855,77.5975,125.87608719838673
856,77.598125,125.85840599200013
857,77.59875,125.76498451143974
858,77.599375,125.59789960023275
859,77.6,125.49700640033329
860,77.600625,125.43683213072997
861,77.60125,125.40425709792486
862,77.601875,125.04249105011289
863,77.6025,124.64975732705973
864,77.603125,124.25440308835684
865,77.60375,123.94009456046092
866,77.604375,123.51603265696559
867,77.605,123.17930520766821
868,77.605625,123.29894745243683
869,77.60625,122.89770836574284
870,77.606875,122.56798537435613
871,77.6075,122.49008449668565
872,77.608125,122.9411534205672
873,77.60875,123.021265067075
874,77.609375,122.86029600508189
875,77.61,122.7280689626798
876,77.610625,123.07019978601674
877,77.61125,123.37584040628364
878,77.611875,123.37584040628364
879,77.6125,123.53917961173818
880,77.613125,123.8122359562721
881,77.61375,124.14730074938143
882,77.614375,124.29157907140998
883,77.615,124.56287215195485
884,77.615625,124.87068203664124
885,77.61625,125.1150957328609
886,77.616875,125.18231688370133
887,77.6175,125.39959353290648
888,77.618125,125.84068871989473
889,77.61875,126.07687549777309
890,77.619375,126.21386624686721
891,77.62,126.31940690913835
892,77.620625,126.57166899428404
893,77.62125,126.64068554055036
894,77.621875,126.74519079500553
895,77.6225,127.00883713070124
896,77.623125,127.17392199147622
897,77.62375,127.28726709231461
898,77.624375,127.38802827393249
899,77.625,127.7049736480644
900,77.625625,127.8469031072241
901,77.62625,127.91002248611251
902,77.626875,127.97962133316263
903,77.6275,128.03145691352893
904,77.628125,128.03490164474124
905,77.62875,127.99001322629222
906,77.629375,128.01421273546464
907,77.63,128.0589765868881
908,77.630625,128.08640934443463
909,77.63125,127.96921699216446
910,77.631875,127.93096075974263
911,77.6325,127.96921699216446
912,77.633125,128.09667433239878
913,77.63375,127.83281406984776
914,77.634375,127.69423485876565
915,77.635,127.68348277614066
916,77.635625,127.48763396101765
917,77.63625,127.35829477587507
918,77.636875,127.24964949502349
919,77.6375,127.12051714386246
920,77.638125,126.93488109209697
921,77.63875,126.82869049156281
922,77.639375,126.84055376174945
923,77.64,126.75716858082188
924,77.640625,126.70113038878183
925,77.64125,126.64472830982886
926,77.641875,126.50620743422122
927,77.6425,126.12421016335523
928,77.643125,125.82737700903165
929,77.64375,125.85840599200013
930,77.644375,125.67506766665053
931,77.645,125.55676666004095
932,77.645625,125.50622709083623
933,77.64625,125.40891816035925
934,77.646875,125.21573337309952
935,77.6475,124.94964521354107
936,77.648125,124.61408627225138
937,77.64875,124.61919111497139
938,77.649375,124.56287215195485
939,77.65,124.32859661752502
940,77.650625,124.0224779441476
941,77.65125,123.69950381396522
942,77.651875,123.39348868117614
